Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000151,2018-07-18,2019-04-19,167820 points,Morgan Freeman,Se7en,1937-06-01
2,nm0000093,2018-07-19,2021-06-09,160473 points,Brad Pitt,Ad Astra,1963-12-18
3,nm0000138,2018-07-20,2020-07-17,157865 points,Leonardo DiCaprio,Inception,1974-11-11
4,nm0000134,2018-07-16,2021-05-01,151313 points,Robert De Niro,Cape Fear,1943-08-17
5,nm0000354,2018-07-22,2021-09-03,140716 points,Matt Damon,Good Will Hunting,1970-10-08
6,nm0000323,2018-07-16,2018-11-17,137003 points,Michael Caine,The Dark Knight,1933-03-14
7,nm0000288,2018-07-18,2021-04-29,126932 points,Christian Bale,The Dark Knight,1974-01-30
8,nm0000158,2018-07-20,2021-02-21,118663 points,Tom Hanks,Cast Away,1956-07-09
9,nm0000198,2018-07-19,2021-05-26,112643 points,Gary Oldman,The Dark Knight,1958-03-21
10,nm0000199,2018-07-16,2020-02-09,105941 points,Al Pacino,Serpico,1940-04-25
11,nm0001570,2018-07-22,2021-09-11,90851 points,Edward Norton,Motherless Brooklyn,1969-08-18
12,nm0000246,2018-07-18,2021-09-11,90295 points,Bruce Willis,Die Hard,1955-03-19
13,nm0000148,2018-07-16,2021-05-10,88197 points,Harrison Ford,Raiders of the Lost Ark,1942-07-13
14,nm0000136,2018-07-18,2021-05-25,81985 points,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
15,nm0614165,2018-08-04,2021-06-06,79799 points,Cillian Murphy,28 Days Later...,1976-05-25
16,nm0000146,2018-07-20,2021-08-27,76246 points,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
17,nm0000228,2018-07-19,2021-11-16,73563 points,Kevin Spacey,The Usual Suspects,1959-07-26
18,nm0000168,2018-07-20,2021-11-16,73401 points,Samuel L. Jackson,Pulp Fiction,1948-12-21
19,nm0000197,2018-07-16,2020-07-17,72904 points,Jack Nicholson,Chinatown,1937-04-22
20,nm0000129,2018-07-18,2021-12-07,69889 points,Tom Cruise,Top Gun,1962-07-03
21,nm0000450,2018-07-19,2021-08-27,68995 points,Philip Seymour Hoffman,The Master,1967-07-23
22,nm0000380,2018-07-16,2019-01-15,66238 points,Robert Duvall,The Apostle,1931-01-05
23,nm0362766,2018-08-17,2018-08-24,64287 points,Tom Hardy,Inception,1977-09-15
24,nm0331516,2018-08-03,2021-05-10,63982 points,Ryan Gosling,Blue Valentine,1980-11-12
25,nm0000114,2018-07-19,2018-08-24,62549 points,Steve Buscemi,Fargo,1957-12-13
26,nm0000128,2018-07-23,2021-12-09,62411 points,Russell Crowe,Les Misérables,1964-04-07
27,nm0000553,2018-07-20,2021-09-20,62334 points,Liam Neeson,Kinsey,1952-06-07
28,nm0350453,2018-08-01,2021-05-24,62064 points,Jake Gyllenhaal,Nightcrawler,1980-12-19
29,nm0330687,2018-08-17,2021-06-05,61094 points,Joseph Gordon-Levitt,Inception,1981-02-17
30,nm0749263,2018-08-02,2021-03-05,60975 points,Mark Ruffalo,Spotlight,1967-11-22
31,nm0000172,2018-07-16,2021-08-27,60431 points,Harvey Keitel,Reservoir Dogs,1939-05-13
32,nm0000123,2018-07-27,2019-11-25,60087 points,George Clooney,Michael Clayton,1961-05-06
33,nm0000243,2018-07-18,2021-12-05,56799 points,Denzel Washington,Fences,1954-12-28
34,nm0915989,2018-07-30,2019-02-05,56280 points,Hugo Weaving,The Lord of the Rings: The Return of the King,1960-04-04
35,nm0000437,2018-07-20,2021-05-09,56128 points,Woody Harrelson,True Detective,1961-07-23
36,nm0000179,2018-07-23,2018-08-22,55794 points,Jude Law,Closer,1972-12-29
37,nm0000142,2018-07-15,2021-05-11,55367 points,Clint Eastwood,Million Dollar Baby,1930-05-31
38,nm0000729,2018-07-21,2018-08-23,54069 points,Casey Affleck,Gone Baby Gone,1975-08-12
39,nm0177896,2018-08-08,2021-05-11,53153 points,Bradley Cooper,A Star Is Born,1975-01-05
40,nm0000209,2018-07-18,2021-03-05,52954 points,Tim Robbins,Mystic River,1958-10-16
41,nm0002253,2018-08-24,2021-05-05,51803 points,John Carroll Lynch,The Founder,1963-08-01
42,nm0929489,2018-07-24,2018-08-24,51617 points,Tom Wilkinson,Michael Clayton,1948-02-05
43,nm0000438,2018-07-17,2021-07-15,51417 points,Ed Harris,Apollo 13,1950-11-28
44,nm0001426,2018-07-17,2021-09-10,50612 points,Ben Kingsley,Sexy Beast,1943-12-31
45,nm0001618,2018-07-21,2021-05-14,50593 points,Joaquin Phoenix,Her,1974-10-28
46,nm0000353,2018-07-18,2021-09-11,49911 points,Willem Dafoe,At Eternity's Gate,1955-07-22
47,nm0000457,2018-07-17,2018-08-24,49176 points,John Hurt,Nineteen Eighty-Four,1940-01-22
48,nm0001030,2018-07-16,2018-12-09,49039 points,John Cazale,Dog Day Afternoon,1935-08-12
49,nm0000190,2018-07-26,2021-11-16,48256 points,Matthew McConaughey,Dallas Buyers Club,1969-11-04
50,nm0000255,2018-07-22,2018-08-22,47089 points,Ben Affleck,Argo,1972-08-15
51,nm0001467,2018-07-27,2021-05-10,46997 points,Jared Leto,Dallas Buyers Club,1971-12-26
