Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000204,2018-07-20,2021-06-19,64117 points,Natalie Portman,Black Swan,1981-06-09
2,nm0004266,2018-08-05,2021-03-05,56731 points,Anne Hathaway,Les Misérables,1982-11-12
3,nm0001735,2018-07-16,2018-07-18,54709 points,Talia Shire,Rocky,1946-04-25
4,nm2225369,2018-08-17,2021-09-08,54280 points,Jennifer Lawrence,The Hunger Games,1990-08-15
5,nm0000194,2018-07-20,2021-05-26,53266 points,Julianne Moore,Far from Heaven,1960-12-03
6,nm0000473,2018-07-16,2018-08-02,52796 points,Diane Keaton,Annie Hall,1946-01-05
7,nm2244205,2018-08-10,2021-12-09,52174 points,Léa Seydoux,La vie d'Adèle,1985-07-01
8,nm0000705,2018-07-20,2021-05-10,52046 points,Robin Wright,Forrest Gump,1966-04-08
9,nm0000949,2018-07-30,2021-12-09,51488 points,Cate Blanchett,Carol,1969-05-14
10,nm0461136,2018-08-02,2021-05-01,50689 points,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,1985-03-26
11,nm0000235,2018-07-18,2018-08-03,49996 points,Uma Thurman,Kill Bill: Vol. 1,1970-04-29
12,nm0182839,2018-08-07,2020-03-27,48284 points,Marion Cotillard,La Môme,1975-09-30
13,nm0424060,2018-08-01,2020-02-09,48093 points,Scarlett Johansson,Lost in Translation,1984-11-22
14,nm1567113,2018-08-18,2021-07-15,47837 points,Jessica Chastain,Zero Dark Thirty,1977-03-24
15,nm0010736,2018-08-01,2018-08-23,47662 points,Amy Adams,Arrival,1974-08-20
16,nm0000307,2018-07-17,2018-08-20,47201 points,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,1966-05-26
17,nm0000701,2018-07-20,2021-05-15,46637 points,Kate Winslet,Eternal Sunshine of the Spotless Mind,1975-10-05
18,nm0267812,2018-08-05,2020-07-17,44087 points,Vera Farmiga,The Departed,1973-08-06
19,nm0000149,2018-07-16,2021-09-03,42826 points,Jodie Foster,The Silence of the Lambs,1962-11-19
