Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0634240,2018-06-28,2018-07-14,143174 points,Christopher Nolan,Tenet,1970-07-30
2,nm0000229,2018-06-05,2018-07-14,131784 points,Steven Spielberg,Schindler's List,1946-12-18
3,nm0000233,2018-06-24,2020-02-09,108315 points,Quentin Tarantino,Reservoir Dogs,1963-03-27
4,nm0000217,2018-06-10,2020-07-17,103526 points,Martin Scorsese,Taxi Driver,1942-11-17
5,nm0000399,2018-06-26,2021-04-08,83185 points,David Fincher,Se7en,1962-08-28
6,nm0000631,2018-06-12,2021-12-09,70150 points,Ridley Scott,The Martian,1937-11-30
7,nm0000040,2018-05-28,2018-06-29,63606 points,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
8,nm0000709,2018-06-16,2018-07-13,63408 points,Robert Zemeckis,Back to the Future,1951-05-14
9,nm0000338,2018-06-06,2019-01-10,58488 points,Francis Ford Coppola,Apocalypse Now,1939-04-07
10,nm0000142,2018-06-07,2021-05-11,56012 points,Clint Eastwood,Million Dollar Baby,1930-05-31
11,nm0001054,2018-06-16,2021-05-08,52964 points,Joel Coen,The Ballad of Buster Scruggs,1954-11-29
12,nm0001104,2018-06-25,2018-06-29,52350 points,Frank Darabont,The Green Mile,1959-01-28
13,nm0000033,2018-05-20,2019-04-02,41724 points,Alfred Hitchcock,Psycho,1899-08-13
14,nm0005222,2018-06-29,2018-07-13,40712 points,Sam Mendes,1917,1965-08-01
15,nm0000116,2018-06-16,2021-09-24,35492 points,James Cameron,Avatar,1954-08-16
16,nm0000965,2018-06-25,2020-02-09,35149 points,Danny Boyle,127 Hours,1956-10-20
17,nm0000165,2018-06-20,2021-06-05,32144 points,Ron Howard,Arrested Development,1954-03-01
18,nm0004716,2018-06-28,2021-07-15,30689 points,Darren Aronofsky,Pi,1969-02-12
19,nm0680846,2018-07-07,2020-02-09,30559 points,Todd Phillips,Joker,1970-12-20
20,nm0000318,2018-06-22,2019-01-28,30153 points,Tim Burton,Edward Scissorhands,1958-08-25
21,nm0898288,2018-07-08,2021-05-10,29887 points,Denis Villeneuve,Blade Runner 2049,1967-10-03
22,nm0027572,2018-06-30,2021-06-28,27844 points,Wes Anderson,Fantastic Mr. Fox,1969-05-01
23,nm0339030,2018-07-04,2021-05-07,26241 points,Paul Greengrass,United 93,1955-08-13
24,nm0000108,2018-06-23,2021-05-19,26033 points,Luc Besson,The Fifth Element,1959-03-18
25,nm0000591,2018-06-01,2018-07-09,26022 points,Roman Polanski,Chinatown,1933-08-18
26,nm0327944,2018-06-30,2020-01-02,25665 points,Alejandro G. Iñárritu,Biutiful,1963-08-15
27,nm0000095,2018-06-07,2018-07-14,25099 points,Woody Allen,Manhattan,1935-12-01
28,nm0001466,2018-05-31,2018-06-16,24377 points,Sergio Leone,Once Upon a Time in America,1929-01-03
29,nm0005363,2018-06-28,2021-11-26,24047 points,Guy Ritchie,Sherlock Holmes,1968-09-10
30,nm0001752,2018-06-22,2021-07-17,23802 points,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
31,nm0000416,2018-06-10,2021-04-20,22977 points,Terry Gilliam,Brazil,1940-11-22
32,nm0001060,2018-06-23,2018-07-01,22925 points,Chris Columbus,Harry Potter and the Sorcerer's Stone,1958-09-10
33,nm0001661,2018-06-16,2019-01-04,22834 points,Rob Reiner,All in the Family,1947-03-06
34,nm0001716,2018-06-17,2019-01-16,22797 points,Tony Scott,Domino,1944-06-21
35,nm0001837,2018-06-14,2018-07-08,22682 points,Peter Weir,Master and Commander: The Far Side of the World,1944-08-21
36,nm0000361,2018-06-14,2021-07-14,22635 points,Brian De Palma,Dressed to Kill,1940-09-11
37,nm0000520,2018-06-24,2019-10-19,22227 points,Michael Mann,The Insider,1943-02-05
38,nm0751102,2018-06-29,2018-07-13,22172 points,David O. Russell,American Hustle,1958-08-20
39,nm0001129,2018-06-23,2018-07-07,22035 points,Jonathan Demme,The Silence of the Lambs,1944-02-22
40,nm0000154,2018-06-26,2018-07-14,21893 points,Mel Gibson,Braveheart,1956-01-03
41,nm0893659,2018-07-02,2018-07-04,21634 points,Gore Verbinski,Rango,1964-03-16
42,nm0001232,2018-06-10,2018-06-29,21205 points,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
43,nm1349376,2018-07-09,2021-09-08,20883 points,Francis Lawrence,The Hunger Games: Catching Fire,1971-03-26
44,nm0001880,2018-06-22,2021-12-07,19428 points,Edward Zwick,Thirtysomething,1952-10-08
45,nm0001486,2018-05-29,2018-12-09,19257 points,Sidney Lumet,12 Angry Men,1924-06-25
46,nm0000500,2018-06-24,2018-07-12,18652 points,Richard Linklater,Waking Life,1960-07-30
47,nm0942367,2019-09-24,2020-01-15,18390 points,Edgar Wright,Shaun of the Dead,1974-04-18
48,nm0796117,2018-06-29,2018-07-01,18353 points,M. Night Shyamalan,Lady in the Water,1970-08-06
49,nm0000487,2018-06-28,2018-11-21,18329 points,Ang Lee,Wo hu cang long,1954-10-23
50,nm0000231,2018-06-17,2021-09-06,18137 points,Oliver Stone,JFK,1946-09-15
51,nm0000759,2018-06-27,2019-04-30,17949 points,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
52,nm0443411,2018-06-28,2018-07-09,17825 points,Tony Kaye,Detachment,
53,nm0001741,2018-06-26,2019-04-21,17703 points,Bryan Singer,X-Men,1965-09-17
54,nm0905154,2018-06-29,2018-07-02,17471 points,Lana Wachowski,The Matrix,1965-06-21
55,nm0905152,2018-06-29,2018-07-02,17471 points,Lilly Wachowski,The Matrix,1967-12-29
56,nm0005124,2018-06-26,2018-06-29,17414 points,John Lasseter,Toy Story 2,1957-01-12
57,nm0009190,2018-07-04,2021-09-24,17412 points,J.J. Abrams,Lost,1966-06-27
58,nm0001814,2018-06-26,2018-07-06,16782 points,Gus Van Sant,Elephant,1952-07-24
59,nm0000184,2018-06-07,2018-06-11,16410 points,George Lucas,Star Wars,1944-05-14
60,nm0001392,2018-06-25,2018-07-07,16153 points,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
61,nm0000255,2018-07-05,2018-07-10,16143 points,Ben Affleck,Argo,1972-08-15
62,nm0094435,2018-07-04,2020-12-31,16113 points,Bong Joon Ho,Snowpiercer,1969-09-14
63,nm3227090,2018-07-12,2018-07-14,16062 points,Damien Chazelle,La La Land,1985-01-19
64,nm0393799,2018-07-07,2018-07-13,16025 points,Tom Hooper,Cats,1972-10-05
65,nm0000948,2018-07-03,2021-05-04,15787 points,Shane Black,The Nice Guys,1961-12-16
66,nm0574625,2018-07-03,2018-07-03,15627 points,James McTeigue,V for Vendetta,
67,nm0449984,2018-06-13,2018-06-13,15602 points,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back,1923-04-29
68,nm0576987,2018-07-01,2021-05-02,15433 points,Fernando Meirelles,Blindness,1955-11-09
69,nm0000697,2018-05-22,2018-05-30,15231 points,Billy Wilder,The Apartment,1906-06-22
70,nm0088955,2021-05-24,2021-09-03,15020 points,Neill Blomkamp,District 9,1979-09-17
71,nm0190859,2018-06-28,2019-01-01,14845 points,Alfonso Cuarón,Gravity,1961-11-28
72,nm0718646,2018-07-03,2018-07-11,14740 points,Jason Reitman,Up in the Air,1977-10-19
73,nm0878763,2018-07-09,2018-07-14,14580 points,Morten Tyldum,Hodejegerne,1967-05-19
74,nm0000490,2018-06-22,2021-05-12,14426 points,Spike Lee,Do the Right Thing,1957-03-20
75,nm0868219,2018-07-04,2021-07-15,14402 points,Guillermo del Toro,El laberinto del fauno,1964-10-09
76,nm0000583,2018-06-14,2021-06-09,14302 points,Wolfgang Petersen,Das Boot,1941-03-14
77,nm1732981,2018-07-06,2021-05-09,13926 points,Martin McDonagh,In Bruges,1970-03-26
78,nm0005069,2018-06-29,2018-07-11,13809 points,Spike Jonze,Her,1969-10-22
79,nm0298807,2018-06-30,2021-12-05,13793 points,Antoine Fuqua,The Magnificent Seven,1965-05-30
80,nm0525303,2018-06-27,2018-07-11,13581 points,Baz Luhrmann,Moulin Rouge!,1962-09-17
81,nm0002657,2018-07-10,2018-11-09,13556 points,Gary Ross,The Hunger Games,1956-11-03
82,nm0327273,2018-07-02,2018-07-07,13142 points,Michel Gondry,Eternal Sunshine of the Spotless Mind,1963-05-08
83,nm0000941,2018-06-23,2018-07-10,13141 points,Kathryn Bigelow,Near Dark,1951-11-27
84,nm0286975,2018-06-30,2020-10-13,12926 points,Marc Forster,World War Z,1969-11-30
85,nm0003506,2018-06-28,2020-02-09,12816 points,James Mangold,Logan,1963-12-16
86,nm0821432,2021-05-26,2021-05-28,12562 points,Chad Stahelski,John Wick,1968-09-20
87,nm0000122,2018-05-17,2021-04-12,12476 points,Charles Chaplin,The Great Dictator,1889-04-16
88,nm0000186,2018-06-11,2018-06-30,12441 points,David Lynch,Twin Peaks,1946-01-20
89,nm0001469,2018-06-18,2018-07-01,12395 points,Barry Levinson,Rain Man,1942-04-06
